5	11
index	alt	dummy	Kzz	Tgas	CO2	N2	O2	CH4	H2	CO	SO2	H2S	NH3	H2O	M
32	32	7.93899	1.82E+04	228.4900208	1.692E+17	4.248E+16	2.124E+09	2.124E+12	9.412E+02	2.124E+13	3.294E+02	3.294E+01	4.185E+02	6.372E+14	2.124E+17
33	33	6.83588	2.00E+04	230.9736938	1.537E+17	3.857E+16	1.928E+09	1.928E+12	8.546E+02	1.928E+13	2.991E+02	2.991E+01	3.800E+02	5.785E+14	1.928E+17
34	34	5.91014	2.20E+04	233.7444763	1.407E+17	3.531E+16	1.765E+09	1.765E+12	7.824E+02	1.765E+13	2.738E+02	2.738E+01	3.478E+02	5.296E+14	1.765E+17
35	35	5.15267	2.45E+04	236.514389	1.291E+17	3.239E+16	1.619E+09	1.619E+12	7.177E+02	1.619E+13	2.512E+02	2.512E+01	3.191E+02	4.858E+14	1.619E+17
36	36	4.44577	2.75E+04	239.283432	1.186E+17	2.977E+16	1.488E+09	1.488E+12	6.597E+02	1.488E+13	2.309E+02	2.309E+01	2.933E+02	4.465E+14	1.488E+17
37	37	3.84601	3.05E+04	242.0516205	1.092E+17	2.742E+16	1.371E+09	1.371E+12	6.075E+02	1.371E+13	2.126E+02	2.126E+01	2.701E+02	4.112E+14	1.371E+17
38	38	3.34199	3.39E+04	244.818924	1.008E+17	2.529E+16	1.265E+09	1.265E+12	5.605E+02	1.265E+13	1.962E+02	1.962E+01	2.492E+02	3.794E+14	1.265E+17
39	39	2.92517	3.80E+04	247.5853882	9.314E+16	2.338E+16	1.169E+09	1.169E+12	5.180E+02	1.169E+13	1.813E+02	1.813E+01	2.303E+02	3.507E+14	1.169E+17
40	40	2.54569	4.20E+04	250.3509827	8.624E+16	2.164E+16	1.082E+09	1.082E+12	4.796E+02	1.082E+13	1.679E+02	1.679E+01	2.132E+02	3.247E+14	1.082E+17
41	41	2.20919	4.64E+04	253.1157074	7.997E+16	2.007E+16	1.004E+09	1.004E+12	4.448E+02	1.004E+13	1.557E+02	1.557E+01	1.977E+02	3.011E+14	1.004E+17
42	42	1.92266	5.19E+04	255.8795776	7.429E+16	1.864E+16	9.322E+08	9.322E+11	4.131E+02	9.322E+12	1.446E+02	1.446E+01	1.837E+02	2.797E+14	9.322E+16
43	43	1.67906	5.84E+04	258.6425781	6.911E+16	1.735E+16	8.673E+08	8.673E+11	3.843E+02	8.673E+12	1.345E+02	1.345E+01	1.709E+02	2.602E+14	8.673E+16
44	44	1.47778	6.45E+04	261.4046936	6.439E+16	1.616E+16	8.080E+08	8.080E+11	3.581E+02	8.080E+12	1.253E+02	1.253E+01	1.592E+02	2.424E+14	8.080E+16
45	45	1.28924	7.14E+04	264.1659851	6.008E+16	1.508E+16	7.540E+08	7.540E+11	3.341E+02	7.540E+12	1.170E+02	1.170E+01	1.486E+02	2.262E+14	7.540E+16
46	46	1.12952	7.99E+04	266.9263916	5.614E+16	1.409E+16	7.045E+08	7.045E+11	3.122E+02	7.045E+12	1.093E+02	1.093E+01	1.388E+02	2.114E+14	7.045E+16
47	47	0.99113	8.79E+04	269.6859741	5.253E+16	1.318E+16	6.592E+08	6.592E+11	2.921E+02	6.592E+12	1.023E+02	1.023E+01	1.299E+02	1.978E+14	6.592E+16
48	48	0.87309	9.69E+04	270.6499939	4.729E+16	1.187E+16	5.935E+08	5.935E+11	2.630E+02	5.935E+12	9.205E+01	9.205E+00	1.169E+02	1.780E+14	5.935E+16
49	49	0.76272	1.07E+05	270.6499939	4.168E+16	1.046E+16	5.231E+08	5.231E+11	2.318E+02	5.231E+12	8.113E+01	8.113E+00	1.031E+02	1.569E+14	5.231E+16
50	50	0.66534	1.18E+05	270.6499939	3.674E+16	9.220E+15	4.610E+08	4.610E+11	2.043E+02	4.610E+12	7.151E+01	7.151E+00	9.083E+01	1.383E+14	4.610E+16
51	51	0.58027	1.32E+05	270.6499939	3.238E+16	8.126E+15	4.063E+08	4.063E+11	1.801E+02	4.063E+12	6.302E+01	6.302E+00	8.005E+01	1.219E+14	4.063E+16
52	52	0.50612	1.48E+05	269.0291443	2.743E+16	6.884E+15	3.442E+08	3.442E+11	1.525E+02	3.442E+12	5.339E+01	5.339E+00	6.782E+01	1.033E+14	3.442E+16
53	53	0.44536	1.66E+05	266.2747192	2.253E+16	5.655E+15	2.827E+08	2.827E+11	1.253E+02	2.827E+12	4.386E+01	4.386E+00	5.571E+01	8.482E+13	2.827E+16
54	54	0.38612	1.83E+05	263.5211792	1.843E+16	4.626E+15	2.313E+08	2.313E+11	1.025E+02	2.313E+12	3.588E+01	3.588E+00	4.557E+01	6.939E+13	2.313E+16
55	55	0.3347	2.02E+05	260.7684937	1.502E+16	3.769E+15	1.884E+08	1.884E+11	8.351E+01	1.884E+12	2.923E+01	2.923E+00	3.712E+01	5.653E+13	1.884E+16
56	56	0.28953	2.26E+05	258.0166626	1.218E+16	3.057E+15	1.528E+08	1.528E+11	6.773E+01	1.528E+12	2.371E+01	2.371E+00	3.011E+01	4.585E+13	1.528E+16
57	57	0.24977	2.52E+05	255.265686	9.834E+15	2.468E+15	1.234E+08	1.234E+11	5.469E+01	1.234E+12	1.914E+01	1.914E+00	2.431E+01	3.702E+13	1.234E+16
58	58	0.21759	2.77E+05	252.515564	7.904E+15	1.984E+15	9.919E+07	9.919E+10	4.396E+01	9.919E+11	1.538E+01	1.538E+00	1.954E+01	2.976E+13	9.919E+15
59	59	0.18723	3.07E+05	249.7662964	6.322E+15	1.587E+15	7.934E+07	7.934E+10	3.516E+01	7.934E+11	1.231E+01	1.231E+00	1.563E+01	2.380E+13	7.934E+15
60	60	0.15996	3.42E+05	247.0178986	5.032E+15	1.263E+15	6.315E+07	6.315E+10	2.799E+01	6.315E+11	9.795E+00	9.795E-01	1.244E+01	1.894E+13	6.315E+15
61	61	0	380000	244.27034	3.985E+15	1.000E+15	5.001E+07	5.001E+10	2.216E+01	5.001E+11	7.757E+00	7.757E-01	9.853E+00	1.500E+13	5.001E+15
62	62	0	422000	241.5236359	3.139E+15	7.879E+14	3.939E+07	3.939E+10	1.746E+01	3.939E+11	6.110E+00	6.110E-01	7.761E+00	1.182E+13	3.939E+15
63	63	0	472000	238.7777863	2.459E+15	6.172E+14	3.086E+07	3.086E+10	1.368E+01	3.086E+11	4.787E+00	4.787E-01	6.081E+00	9.259E+12	3.086E+15
64	64	0	522000	236.0328064	1.916E+15	4.809E+14	2.404E+07	2.404E+10	1.066E+01	2.404E+11	3.729E+00	3.729E-01	4.737E+00	7.213E+12	2.404E+15
65	65	0	580000	233.2886658	1.484E+15	3.724E+14	1.862E+07	1.862E+10	8.252E+00	1.862E+11	2.888E+00	2.888E-01	3.669E+00	5.586E+12	1.862E+15
66	66	0	644000	230.5453796	1.142E+15	2.867E+14	1.434E+07	1.434E+10	6.353E+00	1.434E+11	2.224E+00	2.224E-01	2.824E+00	4.301E+12	1.434E+15
67	67	0	715000	227.8029327	8.739E+14	2.193E+14	1.097E+07	1.097E+10	4.860E+00	1.097E+11	1.701E+00	1.701E-01	2.161E+00	3.290E+12	1.097E+15
68	68	0	795000	225.0613556	6.642E+14	1.667E+14	8.335E+06	8.335E+09	3.694E+00	8.335E+10	1.293E+00	1.293E-01	1.642E+00	2.501E+12	8.335E+14
69	69	0	833000	222.3206482	5.015E+14	1.259E+14	6.293E+06	6.293E+09	2.789E+00	6.293E+10	9.761E-01	9.761E-02	1.240E+00	1.888E+12	6.293E+14
70	70	0	980000	219.5807495	3.760E+14	9.436E+13	4.718E+06	4.718E+09	2.091E+00	4.718E+10	7.318E-01	7.318E-02	9.296E-01	1.415E+12	4.718E+14
71	71	0	1090000	216.8417206	2.799E+14	7.024E+13	3.512E+06	3.512E+09	1.556E+00	3.512E+10	5.447E-01	5.447E-02	6.919E-01	1.054E+12	3.512E+14
72	72	0	1210000	214.2596893	2.085E+14	5.232E+13	2.616E+06	2.616E+09	1.159E+00	2.616E+10	4.058E-01	4.058E-02	5.155E-01	7.849E+11	2.616E+14
73	73	0	1340000	212.3044434	1.597E+14	4.007E+13	2.004E+06	2.004E+09	8.879E-01	2.004E+10	3.108E-01	3.108E-02	3.948E-01	6.011E+11	2.004E+14
74	74	0	1490000	210.349823	1.217E+14	3.054E+13	1.527E+06	1.527E+09	6.767E-01	1.527E+10	2.368E-01	2.368E-02	3.008E-01	4.581E+11	1.527E+14
75	75	0	1660000	208.3957977	9.226E+13	2.315E+13	1.158E+06	1.158E+09	5.131E-01	1.158E+10	1.796E-01	1.796E-02	2.281E-01	3.473E+11	1.158E+14
76	76	0	1840000	206.4423981	6.959E+13	1.747E+13	8.733E+05	8.733E+08	3.870E-01	8.733E+09	1.355E-01	1.355E-02	1.721E-01	2.620E+11	8.733E+13
77	77	0	2040000	204.4895782	5.221E+13	1.310E+13	6.552E+05	6.552E+08	2.904E-01	6.552E+09	1.016E-01	1.016E-02	1.291E-01	1.966E+11	6.552E+13
78	78	0	2270000	202.537384	3.896E+13	9.777E+12	4.889E+05	4.889E+08	2.167E-01	4.889E+09	7.583E-02	7.583E-03	9.632E-02	1.467E+11	4.889E+13
79	79	0	2520000	200.5857849	2.890E+13	7.254E+12	3.627E+05	3.627E+08	1.607E-01	3.627E+09	5.626E-02	5.626E-03	7.146E-02	1.088E+11	3.627E+13
80	80	0	2800000	198.6347961	2.132E+13	5.351E+12	2.675E+05	2.675E+08	1.186E-01	2.675E+09	4.150E-02	4.150E-03	5.271E-02	8.026E+10	2.675E+13
81	81	0	3110000	196.6844177	1.563E+13	3.923E+12	1.962E+05	1.962E+08	8.694E-02	1.962E+09	3.043E-02	3.043E-03	3.865E-02	5.885E+10	1.962E+13
82	82	0	3460000	194.7346344	1.139E+13	2.859E+12	1.430E+05	1.430E+08	6.335E-02	1.430E+09	2.217E-02	2.217E-03	2.817E-02	4.289E+10	1.430E+13
83	83	0	3840000	192.7854614	8.249E+12	2.070E+12	1.035E+05	1.035E+08	4.587E-02	1.035E+09	1.606E-02	1.606E-03	2.039E-02	3.105E+10	1.035E+13
84	84	0	4260000	190.8368835	5.934E+12	1.489E+12	7.446E+04	7.446E+07	3.300E-02	7.446E+08	1.155E-02	1.155E-03	1.467E-02	2.234E+10	7.446E+12
85	85	0	4740000	191	5.026E+12	1.261E+12	6.307E+04	6.307E+07	2.795E-02	6.307E+08	9.783E-03	9.783E-04	1.243E-02	1.892E+10	6.307E+12
86	86	0	5260000	190	3.875E+12	9.726E+11	4.863E+04	4.863E+07	2.155E-02	4.863E+08	7.543E-03	7.543E-04	9.582E-03	1.459E+10	4.863E+12
87	87	0	5840000	188	2.741E+12	6.879E+11	3.439E+04	3.439E+07	1.524E-02	3.439E+08	5.335E-03	5.335E-04	6.776E-03	1.032E+10	3.439E+12
