 #layer O O2 M O3 O(1D) N2 OH HO2 H2O H H2 N2O NO NO2 NO3 N2O5 HNO3 CH4 CH3 CH3O2 CH3OOH CH3O CH2O HCO CO CO2 H2O2 COS SH SO CS2 CS S H2S HSO SO2 SO3 HSO2 HSO3 H2SO4 CH3SCH3 CH4O3S SO4 CH3OH S2O2 S2O S2 S3 S4 S8 CH2 CH CH2OH N NH2 N2H4 N2H3 NH NH3 HOCO O(3P) CH2CO CN HCN C2H4 C2H2 C2H CHOCHO HCOOH CH3CHO CH3CO CH3COOH C2H6 C2H5 COCOOH
    1  0.60969130E+008  0.22560000E+012  0.22560000E+020  0.14536806E+007  0.40048641E-004  0.43716069E+019  0.22075740E+006  0.24167302E+010  0.67690000E+017  0.18072515E+009  0.83764940E+014  0.24005313E+009  0.10994790E+008  0.10124600E+008  0.20664779E+003  0.38291263E+000  0.14934166E+005  0.22560000E+015  0.36762699E+010  0.35067202E+010  0.67118656E+011  0.21651871E+002  0.57770490E+012  0.43534541E+009  0.15522254E+016  0.17980000E+020  0.11129677E+011  0.12559618E+000  0.20688054E+006  0.14637772E+010  0.00000000E+000  0.00000000E+000  0.31139469E+008  0.12821013E+008  0.49485328E+006  0.87678926E+010  0.90918839E+002  0.70820636E+003  0.16862845E+005  0.17264954E+010  0.00000000E+000  0.00000000E+000  0.33538649E+008  0.14904277E+015  0.16465288E+009  0.63298773E+005  0.13088607E+005  0.13072500E+005  0.15816089E+006  0.20505961E+005  0.45006964E-005  0.89803070E-013  0.32385242E+009  0.24786457E+004  0.54009463E+008  0.18393824E+008  0.34001571E+009  0.19851113E+008  0.16575629E+009  0.25204342E+000  0.92714488E+019  0.91825407E+012  0.86139676E-011  0.14490528E+011  0.17138482E+012  0.28879481E+018  0.77913551E+003  0.47171673E+002  0.26880449E+007  0.17191079E+012  0.11258546E+009  0.11481759E+015  0.11336941E+015  0.48728997E+009  0.17873197E+014
    2  0.14916535E+009  0.33678867E+015  0.19870000E+020  0.36912450E+010  0.11192745E+000  0.38508160E+019  0.12475982E+007  0.31116346E+011  0.59610000E+017  0.16509028E+008  0.22819280E+009  0.59340412E+008  0.99506877E+007  0.30745290E+009  0.19301821E+005  0.45527430E+003  0.10703826E+007  0.20499626E+007  0.16167954E+008  0.19164959E+011  0.28626565E+013  0.20679300E+010  0.40649017E+013  0.57132550E+006  0.15102142E+016  0.15840000E+020  0.47003173E+012  0.25521228E-002  0.12893181E+004  0.11035590E+009  0.00000000E+000  0.00000000E+000  0.21985905E+004  0.40918902E+006  0.15276835E+003  0.63381445E+010  0.22105155E+003  0.45136423E-002  0.46854522E+002  0.15212188E+010  0.00000000E+000  0.00000000E+000  0.30984782E+008  0.10370960E+015  0.83479626E+006  0.28789422E+002  0.49310111E+002  0.10281252E+005  0.46053501E+005  0.25572244E+004  0.64998740E-010  0.13947021E-018  0.31695773E+009  0.10797881E+006  0.34956970E+007  0.77209851E+005  0.67044588E+008  0.15879841E+007  0.73596171E+006  0.14762398E+001  0.81672953E+019  0.14560856E+012  0.30967746E-010  0.12805129E+011  0.92918303E+011  0.25437090E+018  0.44040872E+004  0.14375829E-004  0.54215584E+008  0.11233767E+012  0.10209464E+010  0.10113907E+015  0.56960239E+014  0.18313480E+010  0.15743957E+014
    3  0.21168811E+009  0.41879220E+015  0.17390000E+020  0.56728845E+010  0.20798057E+000  0.33699433E+019  0.62051877E+006  0.23883886E+011  0.52180000E+017  0.55210548E+007  0.12167007E+009  0.74181279E+007  0.18209436E+008  0.27839752E+009  0.12250688E+005  0.17453022E+003  0.25996946E+006  0.84043809E+004  0.22237340E+007  0.41043307E+010  0.45923463E+012  0.11097609E+010  0.19592890E+013  0.21822690E+006  0.13718845E+016  0.13860000E+020  0.17646931E+012  0.39257929E-004  0.46987737E+002  0.15085670E+009  0.00000000E+000  0.00000000E+000  0.40253144E+004  0.43699250E+004  0.30323205E+001  0.40838294E+010  0.15341417E+003  0.64290798E-004  0.12259712E+002  0.10081980E+010  0.00000000E+000  0.00000000E+000  0.29764010E+008  0.13931453E+014  0.13392769E+007  0.51389791E+002  0.13092497E+000  0.78186413E+004  0.20428573E+005  0.50143882E+003  0.90555245E-012  0.77435654E-021  0.43288332E+008  0.12135826E+005  0.24791636E+006  0.24882716E+003  0.21837000E+008  0.10870863E+006  0.62312566E+004  0.71212438E+000  0.71480534E+019  0.16476691E+011  0.95495623E-011  0.11207679E+011  0.51487115E+011  0.22257831E+018  0.21896088E+004  0.42168703E-005  0.10305118E+008  0.51163169E+011  0.49853464E+009  0.88505838E+014  0.27198047E+014  0.63031895E+009  0.13777922E+014
    4  0.14773674E+009  0.36441904E+015  0.15120000E+020  0.30768941E+010  0.13282836E+000  0.29300510E+019  0.13987927E+006  0.63734183E+010  0.45370000E+017  0.15855366E+007  0.22199890E+009  0.91532261E+006  0.48070172E+008  0.20412693E+009  0.35741412E+004  0.33189691E+002  0.36123639E+005  0.20495478E+005  0.56585798E+006  0.29465778E+010  0.89607884E+011  0.18813173E+009  0.30876418E+012  0.39502203E+005  0.11960834E+016  0.12050000E+020  0.11405518E+011  0.52864242E-006  0.83201096E+000  0.40432770E+009  0.00000000E+000  0.00000000E+000  0.14072810E+005  0.11403039E+002  0.34379793E-001  0.27223976E+010  0.62481053E+002  0.61420172E-006  0.21494016E+001  0.55578310E+009  0.00000000E+000  0.00000000E+000  0.29137284E+008  0.22964068E+013  0.83387997E+007  0.84453169E+003  0.23226899E-002  0.56886885E+004  0.11460952E+005  0.16322585E+003  0.42505219E-013  0.12662784E-022  0.11400069E+008  0.14967917E+004  0.41984859E+005  0.53191037E+001  0.11725369E+008  0.13108326E+005  0.21188236E+003  0.14972159E+000  0.62158697E+019  0.24537978E+010  0.13022676E-011  0.97440686E+010  0.25251838E+011  0.19349336E+018  0.49349584E+003  0.61293992E-006  0.37702759E+006  0.22896287E+011  0.21401383E+009  0.76949121E+014  0.12815251E+014  0.36678550E+009  0.11979434E+014
    5  0.11828793E+009  0.29996945E+015  0.13060000E+020  0.18298413E+010  0.92093405E-001  0.25300673E+019  0.44540993E+005  0.16533563E+010  0.39170000E+017  0.67748477E+006  0.46912161E+009  0.14469795E+006  0.83650478E+008  0.13068918E+009  0.10447797E+004  0.59889335E+001  0.68920534E+004  0.52185286E+005  0.21897339E+006  0.27514018E+010  0.22904679E+011  0.34295752E+008  0.51014063E+011  0.88674873E+004  0.10303415E+016  0.10400000E+020  0.74419727E+009  0.65955153E-008  0.32615544E-002  0.82659916E+009  0.00000000E+000  0.00000000E+000  0.35939085E+005  0.10012167E-001  0.10205632E-003  0.15849402E+010  0.28193884E+002  0.14181644E-008  0.49156220E+000  0.30226589E+009  0.00000000E+000  0.00000000E+000  0.28767115E+008  0.65184441E+012  0.30063213E+008  0.61955134E+004  0.13864634E-001  0.39582483E+004  0.74843027E+004  0.72146900E+002  0.45371084E-014  0.70896299E-024  0.63143514E+007  0.29398174E+003  0.10404421E+005  0.30807074E+000  0.74638886E+007  0.22553379E+004  0.18566543E+002  0.44037444E-001  0.53684229E+019  0.43198369E+009  0.24433956E-012  0.84132245E+010  0.11933836E+011  0.16704944E+018  0.15713908E+003  0.96999583E-007  0.24178104E+005  0.10709705E+011  0.98817072E+008  0.66441491E+014  0.60020586E+013  0.20575872E+009  0.10344112E+014
    6  0.12572986E+009  0.24288374E+015  0.11190000E+020  0.14174592E+010  0.83383359E-001  0.21682637E+019  0.24262157E+005  0.71589133E+009  0.33560000E+017  0.47049375E+006  0.14603967E+010  0.41433671E+005  0.90843250E+008  0.91061097E+008  0.41690996E+003  0.16254938E+001  0.24865519E+004  0.13931012E+006  0.13524169E+006  0.23457234E+010  0.90071193E+010  0.59581414E+007  0.11906363E+011  0.31271982E+004  0.88042529E+015  0.89140000E+019  0.13426768E+009  0.80878802E-010  0.38779367E-005  0.10059583E+010  0.00000000E+000  0.00000000E+000  0.54627450E+005  0.52019364E-005  0.11077358E-006  0.90529977E+009  0.17163222E+002  0.13247511E-011  0.19167813E+000  0.17538015E+009  0.00000000E+000  0.00000000E+000  0.28479547E+008  0.31064296E+012  0.38125529E+008  0.95440023E+004  0.28507645E-001  0.26858957E+004  0.53749303E+004  0.37110997E+002  0.12101756E-014  0.16308436E-024  0.43854019E+007  0.18218608E+003  0.43660725E+004  0.52301252E-001  0.49873673E+007  0.93950564E+003  0.45611091E+001  0.22014471E-001  0.46019986E+019  0.76107480E+008  0.76224826E-013  0.72094867E+010  0.55802004E+010  0.14313382E+018  0.85601734E+002  0.22146749E-007  0.39527064E+004  0.49569710E+010  0.45552518E+008  0.56937463E+014  0.27972714E+013  0.90666534E+008  0.88648876E+013
    7  0.14354724E+009  0.19491099E+015  0.95060000E+019  0.11620817E+010  0.80467372E-001  0.18423722E+019  0.16982996E+005  0.41358939E+009  0.28520000E+017  0.39497547E+006  0.53785095E+012  0.19967082E+005  0.87651942E+008  0.65942623E+008  0.18364499E+003  0.50716325E+000  0.12021463E+004  0.40380667E+008  0.97956298E+005  0.18471802E+010  0.44135492E+010  0.94616398E+004  0.41979059E+010  0.15914637E+004  0.74603756E+015  0.75750000E+019  0.42454174E+008  0.98415929E-012  0.26344695E-008  0.10107285E+010  0.00000000E+000  0.00000000E+000  0.68897329E+005  0.22516870E-008  0.73193207E-010  0.53849635E+009  0.11811256E+002  0.78998723E-015  0.10087640E+000  0.10832109E+009  0.00000000E+000  0.00000000E+000  0.28171172E+008  0.17529663E+012  0.32681484E+008  0.82098786E+004  0.37436600E-001  0.18051833E+004  0.40810694E+004  0.20464113E+002  0.43527512E-015  0.61898999E-025  0.27594473E+007  0.16473158E+003  0.23170839E+004  0.14282095E-001  0.34084437E+007  0.54858055E+003  0.17124284E+001  0.14055350E-001  0.39117378E+019  0.13446276E+008  0.29630138E-013  0.61252945E+010  0.25987485E+010  0.12159662E+018  0.59898942E+002  0.81942221E-008  0.11072630E+004  0.22769041E+010  0.20890423E+008  0.48377328E+014  0.13002120E+013  0.37473003E+008  0.75324889E+013
    8  0.16736284E+009  0.15561893E+015  0.80050000E+019  0.96157745E+009  0.79006318E-001  0.15516315E+019  0.12637066E+005  0.25475995E+009  0.24020000E+017  0.33734534E+006  0.15890460E+013  0.11273569E+005  0.82778993E+008  0.46059397E+008  0.77838529E+002  0.14683084E+000  0.59556674E+003  0.10291303E+009  0.68282562E+005  0.13391314E+010  0.21421938E+010  0.17132791E+004  0.22536420E+010  0.10427307E+004  0.62671919E+015  0.63790000E+019  0.14801861E+008  0.11905956E-013  0.13443650E-011  0.95423642E+009  0.00000000E+000  0.00000000E+000  0.81918243E+005  0.91029700E-012  0.36208528E-013  0.31453515E+009  0.81689913E+001  0.34195472E-018  0.55682400E-001  0.69662780E+008  0.00000000E+000  0.00000000E+000  0.27799401E+008  0.94129668E+011  0.24522312E+008  0.58103251E+004  0.42435464E-001  0.12166422E+004  0.31978648E+004  0.11567490E+002  0.14190385E-015  0.21953900E-025  0.14469337E+007  0.15170107E+003  0.12675245E+004  0.41441362E-002  0.23726348E+007  0.33433139E+003  0.67027731E+000  0.94791184E-002  0.32959868E+019  0.24811906E+007  0.11841172E-013  0.51580981E+010  0.12191984E+010  0.10238678E+018  0.44560492E+002  0.47274473E-008  0.40829294E+003  0.10506484E+010  0.96303355E+007  0.40740951E+014  0.60918498E+012  0.15353001E+008  0.63438035E+013
    9  0.19725967E+009  0.12373197E+015  0.66770000E+019  0.79501401E+009  0.78181893E-001  0.12944295E+019  0.10248847E+005  0.16815017E+009  0.20030000E+017  0.31224090E+006  0.29261237E+013  0.68551377E+004  0.75971379E+008  0.31231618E+008  0.32080979E+002  0.40070188E-001  0.31132416E+003  0.16287878E+009  0.47746704E+005  0.93167142E+009  0.10744755E+010  0.50042352E+003  0.11707704E+010  0.68777819E+003  0.52151316E+015  0.53210000E+019  0.57951687E+007  0.13608873E-015  0.53602045E-015  0.85793904E+009  0.00000000E+000  0.00000000E+000  0.93028552E+005  0.33096756E-015  0.14004222E-016  0.18310433E+009  0.56949558E+001  0.11281924E-021  0.33505974E-001  0.45837366E+008  0.00000000E+000  0.00000000E+000  0.27483855E+008  0.50354005E+011  0.16530091E+008  0.35186959E+004  0.42989292E-001  0.82420944E+003  0.25381533E+004  0.64915738E+001  0.45452690E-016  0.84126766E-026  0.67894396E+006  0.14862159E+003  0.75342435E+003  0.14166616E-002  0.16607562E+007  0.22181945E+003  0.30635412E+000  0.69164083E-002  0.27513867E+019  0.49707701E+006  0.49734291E-014  0.43024895E+010  0.57598372E+009  0.85395775E+017  0.36146256E+002  0.25360063E-008  0.16259988E+003  0.48698734E+009  0.44611287E+007  0.33985763E+014  0.28752084E+012  0.62940493E+007  0.52922401E+013
   10  0.23424556E+009  0.97287183E+014  0.55110000E+019  0.64934487E+009  0.77188256E-001  0.10685600E+019  0.88922910E+004  0.11623968E+009  0.16530000E+017  0.31047354E+006  0.49357596E+013  0.41577443E+004  0.68366664E+008  0.19966012E+008  0.12475291E+002  0.97051330E-002  0.16353198E+003  0.22216929E+009  0.32142195E+005  0.60560688E+009  0.53019558E+009  0.15312882E+003  0.53837220E+009  0.43231187E+003  0.42905957E+015  0.43910000E+019  0.24654696E+007  0.11384883E-017  0.13339738E-018  0.74099061E+009  0.00000000E+000  0.00000000E+000  0.10253777E+006  0.84977881E-019  0.33782941E-020  0.10523569E+009  0.39406333E+001  0.22136829E-025  0.21515137E-001  0.29576522E+008  0.00000000E+000  0.00000000E+000  0.28499286E+008  0.25630046E+011  0.10175554E+008  0.18695994E+004  0.40242575E-001  0.53945604E+003  0.19992382E+004  0.35145047E+001  0.13151527E-016  0.31773549E-026  0.28200923E+006  0.14602759E+003  0.45884990E+003  0.50696726E-003  0.11177607E+007  0.14984217E+003  0.15263597E+000  0.53480359E-002  0.22738055E+019  0.95600444E+005  0.21478845E-014  0.35509452E+010  0.24871922E+009  0.70472108E+017  0.31361074E+002  0.11548065E-008  0.62341976E+002  0.20574621E+009  0.18840509E+007  0.28053245E+014  0.12406589E+012  0.23519123E+007  0.43687785E+013
